N,P,K,temperature,humidity,ph,rainfall,label,Wind Speed (km/h),Soil Moisture (%),Water Requirement (mm/day),Growth Stage,Area (sqm),Irrigation Type,Soil Type,Past Yield (tons),Last Irrigation Date,Last Fertilization Date,Region/State
1,62,23,15.43546065,18.37477907,5.607808432,139.0302034,kidneybeans,5.92,39.51,6.01,Seedling,734,Sprinkler,Sandy,1.34,07-03-2025,27-03-2025,Punjab
33,59,22,22.64236876,21.59396123,5.946999529,122.3886015,kidneybeans,5.81,43.37,3.83,Harvest,286,Manual,Loamy,1.3,16-03-2025,28-03-2025,Maharashtra
23,59,19,21.98560799,24.87304788,5.852046999,129.5650601,kidneybeans,22.11,39.62,6.59,Flowering,873,Manual,Sandy,4.43,20-03-2025,25-02-2025,Maharashtra
6,62,22,20.53052663,18.09224048,5.824090984,120.4509288,kidneybeans,19.07,15.71,5.44,Seedling,884,Manual,Clay,3.84,30-03-2025,21-03-2025,Tamil Nadu
25,63,20,15.78601387,21.14544088,5.502999119,95.17028129,kidneybeans,14.48,40.14,5.62,Flowering,472,Manual,Loamy,3.47,01-04-2025,21-03-2025,Tamil Nadu
7,79,23,19.6365349,19.68751084,5.821649914,96.65888933,kidneybeans,6.96,40.76,7.35,Vegetative,671,Flood,Clay,2.33,31-03-2025,08-02-2025,Punjab
8,72,17,20.57341244,19.7520218,5.711439256,87.87869161,kidneybeans,14.83,36.34,8.03,Seedling,505,Flood,Sandy,1.68,24-03-2025,06-03-2025,Assam
27,64,15,20.16080524,24.84207559,5.514927264,138.2362122,kidneybeans,14.47,40.64,3.77,Flowering,507,Flood,Clay,4.91,22-03-2025,06-02-2025,Tamil Nadu
28,66,23,21.53989176,24.25386207,5.99616119,120.6913038,kidneybeans,8.46,43.84,3.25,Vegetative,224,Manual,Clay,4.09,02-04-2025,05-03-2025,Punjab
32,57,18,15.53834801,23.75560241,5.695422863,107.3850593,kidneybeans,13.68,34.54,9.96,Vegetative,436,Manual,Sandy,1.86,04-04-2025,06-03-2025,Assam
27,56,22,19.91853092,20.70099804,5.833010958,108.6434544,kidneybeans,12.97,13.54,4.63,Seedling,440,Sprinkler,Sandy,4.31,03-04-2025,22-02-2025,Maharashtra
17,77,24,20.76952209,18.93146941,5.568456899,109.0193712,kidneybeans,17.32,29.51,3.38,Fruiting,662,Drip,Loamy,3.92,15-03-2025,11-03-2025,Tamil Nadu
0,65,15,23.46168338,23.22197648,5.645435626,95.84253438,kidneybeans,17.7,13.11,4.33,Harvest,277,Sprinkler,Loamy,1.84,15-03-2025,24-02-2025,Punjab
13,72,21,24.32116642,21.0278674,5.821194486,60.27552528,kidneybeans,5.91,26.3,3.27,Seedling,750,Flood,Silty,2.42,19-03-2025,17-02-2025,Maharashtra
34,60,23,20.12574053,24.96969858,5.659254981,100.0497183,kidneybeans,12.49,26.28,5.74,Vegetative,938,Sprinkler,Loamy,1.34,16-03-2025,28-03-2025,Karnataka
9,80,19,21.80619564,18.57086554,5.945465949,125.0972687,kidneybeans,17.52,12.64,8.62,Vegetative,269,Manual,Sandy,1,11-03-2025,20-02-2025,Maharashtra
11,72,20,19.52226241,24.92607153,5.951177452,113.334026,kidneybeans,15.06,23.95,5.39,Seedling,138,Flood,Clay,3.75,17-03-2025,28-03-2025,Punjab
3,67,24,17.00067625,19.90790546,5.520880014,103.2926407,kidneybeans,22.13,14.44,6.11,Fruiting,168,Flood,Clay,1.7,23-03-2025,20-02-2025,Assam
35,69,23,16.78791503,24.96881755,5.578410206,75.45328039,kidneybeans,18.17,42.33,7.73,Harvest,335,Drip,Loamy,4.19,11-03-2025,01-03-2025,Karnataka
3,77,25,24.84906168,22.89464642,5.608165195,62.21292186,kidneybeans,8.26,47.91,6.56,Flowering,659,Drip,Loamy,4.98,12-03-2025,12-03-2025,Karnataka
23,62,19,16.51783455,20.4555596,5.609435128,98.77794225,kidneybeans,6.41,12.89,9.03,Seedling,480,Flood,Sandy,0.84,04-04-2025,16-02-2025,Karnataka
22,71,17,18.15300153,19.38602098,5.509295379,107.6907964,kidneybeans,17.85,48.2,9.06,Harvest,156,Flood,Clay,2.63,17-03-2025,06-03-2025,Tamil Nadu
31,79,25,23.18864385,22.3104551,5.902033406,63.38208822,kidneybeans,5.53,30.9,3.07,Harvest,376,Sprinkler,Silty,4.11,15-03-2025,20-03-2025,Punjab
34,59,18,23.38002569,21.98879437,5.744117663,87.66898664,kidneybeans,16.72,21.98,8.45,Vegetative,949,Flood,Silty,4.05,11-03-2025,09-03-2025,Karnataka
12,63,17,18.358923,19.37703396,5.717143397,138.414764,kidneybeans,23.8,13.07,6.23,Flowering,198,Manual,Loamy,3.92,13-03-2025,23-02-2025,Maharashtra
27,56,20,19.25975367,20.51346956,5.542690119,94.9533526,kidneybeans,16.51,30.02,9.92,Seedling,626,Sprinkler,Silty,2.07,06-03-2025,21-03-2025,Assam
7,63,24,22.95458237,24.03553105,5.858617867,107.7315386,kidneybeans,12.76,41.78,6.38,Vegetative,424,Manual,Sandy,2.54,21-03-2025,23-02-2025,Punjab
24,67,22,20.120043,22.89845607,5.618844277,104.6252153,kidneybeans,17.87,38.28,9.91,Vegetative,560,Manual,Silty,3.18,07-03-2025,26-02-2025,Maharashtra
11,71,24,21.14011423,22.7182355,5.606620346,141.6056722,kidneybeans,14.17,12.01,8.28,Fruiting,278,Manual,Loamy,4.88,13-03-2025,14-02-2025,Tamil Nadu
37,74,15,24.92360104,18.22590825,5.582178402,62.7089169,kidneybeans,15.91,12.92,4.74,Harvest,943,Flood,Sandy,1.97,04-04-2025,09-02-2025,Karnataka
25,76,24,15.33042636,24.91506728,5.56503533,135.3315583,kidneybeans,23.83,26.11,6.77,Seedling,673,Drip,Clay,4.65,27-03-2025,02-03-2025,Maharashtra
34,66,17,18.81097271,21.27833035,5.889614577,125.084915,kidneybeans,12.72,21.81,9.94,Seedling,218,Drip,Sandy,1.71,16-03-2025,05-03-2025,Punjab
20,69,15,23.44260668,22.77255917,5.934136378,107.4137246,kidneybeans,24.22,19.3,9,Seedling,568,Manual,Loamy,4.95,31-03-2025,19-02-2025,Maharashtra
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,kidneybeans,23.11,21.24,3.68,Vegetative,648,Flood,Loamy,3.52,23-03-2025,07-02-2025,Tamil Nadu
18,74,15,24.9035819,22.27512704,5.70836603,146.4727237,kidneybeans,8.92,42.14,7.94,Fruiting,745,Sprinkler,Silty,2.59,29-03-2025,22-03-2025,Assam
4,67,25,23.78709569,24.35679348,5.948164454,119.6404412,kidneybeans,6.39,47.17,5.42,Flowering,554,Manual,Silty,3.26,11-03-2025,08-02-2025,Karnataka
37,56,25,22.05592283,19.60379304,5.774755144,126.7265372,kidneybeans,7.02,26.2,3.05,Vegetative,125,Sprinkler,Clay,1.73,27-03-2025,08-03-2025,Punjab
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,kidneybeans,5.36,46.24,5.82,Flowering,589,Sprinkler,Clay,1.73,25-03-2025,26-02-2025,Karnataka
11,61,21,18.62328774,23.02410338,5.532100554,135.3378033,kidneybeans,6.89,22.86,4.64,Fruiting,107,Flood,Loamy,1.01,10-03-2025,21-03-2025,Karnataka
22,80,20,23.00884744,18.86880997,5.669560726,100.118612,kidneybeans,18.66,29.06,8.73,Harvest,615,Flood,Loamy,1.01,20-03-2025,09-03-2025,Karnataka
12,61,19,19.33162606,24.13995025,5.655726817,68.51253427,kidneybeans,6.42,19.04,5.36,Seedling,632,Drip,Loamy,2.06,29-03-2025,08-03-2025,Maharashtra
5,74,21,16.24469193,21.35793891,5.591704014,66.97053257,kidneybeans,11.38,35.62,8.79,Flowering,248,Drip,Clay,3.93,17-03-2025,07-03-2025,Maharashtra
27,69,22,17.91652287,24.90814655,5.932323085,69.14681022,kidneybeans,21.9,49.16,3,Vegetative,587,Flood,Loamy,3.24,18-03-2025,06-03-2025,Assam
31,75,18,15.46789263,21.43780702,5.824208309,88.88796102,kidneybeans,5.47,34.14,5.15,Flowering,124,Manual,Clay,0.96,17-03-2025,28-03-2025,Tamil Nadu
36,68,20,17.06104474,23.77201471,5.86442953,81.83420522,kidneybeans,21.29,24.31,4.69,Harvest,754,Drip,Loamy,4.34,16-03-2025,10-02-2025,Punjab
5,65,16,21.32776028,18.48522915,5.866744372,109.1013261,kidneybeans,10.64,35.91,4.63,Seedling,856,Sprinkler,Sandy,3.21,21-03-2025,23-03-2025,Maharashtra
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,kidneybeans,7.36,14.92,3.48,Flowering,654,Manual,Sandy,4.82,11-03-2025,06-02-2025,Karnataka
11,78,22,23.89756791,22.74378977,5.940546818,112.6616435,kidneybeans,18.93,45.55,4.31,Harvest,524,Sprinkler,Loamy,3.52,08-03-2025,24-02-2025,Tamil Nadu
0,55,22,22.98666928,20.57940608,5.916779289,143.8584938,kidneybeans,17.58,30.12,6.89,Vegetative,392,Flood,Sandy,1.29,04-04-2025,18-03-2025,Punjab
14,59,15,21.35135729,22.91244883,5.779090476,146.4548645,kidneybeans,22.55,27.97,5.04,Fruiting,284,Sprinkler,Clay,2.63,18-03-2025,06-03-2025,Punjab
29,68,23,24.1638445,19.27907819,5.82738029,116.7324324,kidneybeans,19.7,33.43,5.92,Vegetative,653,Manual,Silty,3.42,16-03-2025,26-03-2025,Punjab
32,68,19,24.62835037,18.18325169,5.514234138,149.7441028,kidneybeans,21.07,34.99,5.64,Seedling,530,Flood,Sandy,0.63,25-03-2025,05-02-2025,Punjab
17,64,17,21.02213209,24.93896255,5.662699104,124.6118471,kidneybeans,10.64,12.87,9.13,Vegetative,703,Manual,Silty,0.57,21-03-2025,22-03-2025,Assam
13,69,19,17.30844532,20.01730914,5.86390397,115.199245,kidneybeans,8.55,37.3,9.34,Vegetative,416,Sprinkler,Sandy,1.08,12-03-2025,04-03-2025,Punjab
14,67,22,23.82576704,24.75485098,5.624690248,84.64143632,kidneybeans,20.01,19.68,6.45,Vegetative,497,Manual,Clay,1.63,06-03-2025,20-03-2025,Tamil Nadu
9,69,20,19.30607278,23.96362799,5.591560999,129.3449326,kidneybeans,21.14,38.56,5.31,Vegetative,423,Flood,Sandy,2.43,20-03-2025,15-03-2025,Maharashtra
20,73,22,16.03768615,22.33195853,5.976312538,130.3900798,kidneybeans,24.81,42.9,3.75,Seedling,664,Sprinkler,Sandy,2.69,23-03-2025,19-03-2025,Tamil Nadu
40,78,20,19.18572809,20.83398341,5.669236258,80.15293435,kidneybeans,13.25,42.16,9.67,Harvest,695,Sprinkler,Loamy,1.12,26-03-2025,10-02-2025,Karnataka
27,72,23,19.92889503,21.79992115,5.961934481,64.02640797,kidneybeans,12.44,32.1,3.42,Flowering,645,Drip,Silty,3.53,29-03-2025,14-02-2025,Assam
14,67,15,19.56376468,24.67385131,5.690065688,139.2921004,kidneybeans,20.53,30.81,5.08,Fruiting,175,Drip,Silty,3.18,23-03-2025,21-02-2025,Assam
7,56,18,18.31357543,24.32991649,5.698371311,76.14153904,kidneybeans,11.82,15.72,5.09,Flowering,964,Manual,Clay,1.83,03-04-2025,09-03-2025,Karnataka
27,65,18,20.10993761,23.22323766,5.59503163,73.36386477,kidneybeans,23.62,41.01,5.24,Flowering,808,Drip,Clay,0.56,01-04-2025,30-03-2025,Tamil Nadu
30,63,16,23.60506572,21.90539577,5.525904526,100.5978728,kidneybeans,22.17,20.86,4.15,Fruiting,585,Drip,Silty,0.85,11-03-2025,27-02-2025,Tamil Nadu
37,70,25,19.73136909,24.89487354,5.819403771,84.06354115,kidneybeans,13.58,29.87,8.48,Seedling,897,Drip,Loamy,2.26,18-03-2025,30-03-2025,Karnataka
27,63,19,20.93409877,21.1893007,5.562201934,133.1914419,kidneybeans,20.02,21.37,3.86,Fruiting,187,Drip,Loamy,1.19,19-03-2025,11-02-2025,Punjab
22,60,24,18.78226261,20.24768314,5.630664753,104.2570723,kidneybeans,20.09,15.35,7.44,Seedling,846,Flood,Silty,2.2,22-03-2025,10-03-2025,Punjab
3,72,24,36.51268371,57.92887167,6.03160778,122.6539694,pigeonpeas,7.06,35.18,3.87,Flowering,331,Flood,Sandy,3.33,12-03-2025,19-02-2025,Maharashtra
40,59,23,36.89163721,62.73178224,5.269084669,163.7266551,pigeonpeas,23.05,12.17,3.49,Seedling,106,Drip,Silty,2.96,23-03-2025,24-02-2025,Tamil Nadu
33,73,23,29.23540524,59.38967583,5.985792703,103.3301803,pigeonpeas,15.11,39.95,9.37,Harvest,903,Manual,Sandy,1.54,28-03-2025,01-03-2025,Tamil Nadu
27,57,24,27.33534897,43.35795962,6.09186275,142.3303677,pigeonpeas,21.53,22.7,4.33,Fruiting,649,Flood,Silty,2.05,24-03-2025,05-02-2025,Karnataka
10,79,18,21.0643684,55.46985938,5.624731338,184.6226709,pigeonpeas,11.4,10.01,8.75,Harvest,151,Drip,Sandy,3.26,17-03-2025,17-02-2025,Karnataka
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas,22.91,30.45,6.81,Flowering,754,Flood,Loamy,4.37,15-03-2025,25-02-2025,Punjab
40,70,20,31.80130272,45.03186173,5.623490043,147.0361442,pigeonpeas,12.78,11.87,3.54,Fruiting,495,Sprinkler,Silty,3.89,26-03-2025,19-02-2025,Tamil Nadu
38,55,19,33.18184225,38.23184742,5.864623352,198.8298806,pigeonpeas,5.22,21.05,9.69,Flowering,320,Flood,Clay,2.99,20-03-2025,09-02-2025,Tamil Nadu
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,pigeonpeas,23.11,38.28,4.73,Harvest,527,Flood,Sandy,2.13,07-03-2025,08-03-2025,Assam
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas,6.83,12.51,9.02,Flowering,851,Manual,Loamy,2.14,03-04-2025,24-03-2025,Maharashtra
33,58,24,35.45790488,68.75810535,5.269504214,108.6333046,pigeonpeas,11.39,43.57,4.18,Fruiting,242,Flood,Clay,4.46,07-03-2025,16-03-2025,Maharashtra
16,56,17,33.80020039,40.03262418,7.445444883,176.6165894,pigeonpeas,24,10.15,8.98,Fruiting,960,Manual,Loamy,0.68,26-03-2025,04-02-2025,Punjab
31,72,17,28.69180475,49.47225353,5.833031708,96.36222901,pigeonpeas,24.01,19.87,3.09,Flowering,462,Sprinkler,Sandy,4.95,17-03-2025,02-03-2025,Tamil Nadu
16,80,20,31.24021696,56.67369054,7.339320929,122.0146733,pigeonpeas,16.47,39.64,6.58,Fruiting,481,Drip,Silty,3.49,27-03-2025,19-02-2025,Assam
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas,17.64,22.65,8.39,Fruiting,660,Manual,Loamy,3.57,12-03-2025,23-03-2025,Tamil Nadu
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas,13.97,14.08,9.54,Flowering,376,Flood,Silty,0.67,17-03-2025,13-03-2025,Karnataka
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas,10.86,24.41,9.36,Harvest,370,Flood,Silty,3.22,17-03-2025,25-02-2025,Punjab
3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,pigeonpeas,11.57,20.82,8.74,Fruiting,113,Manual,Loamy,2.68,14-03-2025,02-03-2025,Maharashtra
26,67,24,36.97794384,37.73992903,5.642813116,161.4812963,pigeonpeas,18.45,43.71,9.22,Fruiting,397,Sprinkler,Loamy,0.98,24-03-2025,09-02-2025,Tamil Nadu
16,70,20,24.80467592,40.1242747,5.6093956,121.5639121,pigeonpeas,20.05,22.53,4.39,Fruiting,563,Drip,Loamy,1.75,04-04-2025,18-03-2025,Punjab
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas,20.83,41.56,4.99,Fruiting,626,Flood,Silty,4.51,27-03-2025,09-02-2025,Maharashtra
9,76,25,28.88302142,50.12323801,5.70951224,179.2155874,pigeonpeas,20.79,45.67,5.02,Flowering,333,Sprinkler,Clay,2.97,22-03-2025,31-03-2025,Tamil Nadu
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,pigeonpeas,6.82,27.35,5.64,Harvest,674,Drip,Sandy,2.36,24-03-2025,13-03-2025,Assam
28,75,21,24.7741949,50.54621094,6.007508163,114.2821387,pigeonpeas,14.89,46.4,5.75,Harvest,807,Drip,Clay,0.83,24-03-2025,08-02-2025,Punjab
16,71,24,18.33124824,38.40975482,4.946369874,139.6483317,pigeonpeas,6.15,25.09,6.81,Seedling,126,Flood,Silty,3.71,07-03-2025,26-02-2025,Tamil Nadu
24,70,21,19.14729038,45.3733757,5.517208078,132.7748215,pigeonpeas,15.99,48.56,4.12,Fruiting,570,Manual,Loamy,3.66,22-03-2025,12-03-2025,Maharashtra
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,pigeonpeas,13.83,13.57,7.84,Fruiting,192,Flood,Loamy,3.26,01-04-2025,30-03-2025,Maharashtra
9,66,21,30.11812084,34.13307843,5.719889876,157.0858232,pigeonpeas,22.75,37.48,4.17,Seedling,716,Flood,Sandy,2.8,02-04-2025,22-02-2025,Assam
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,pigeonpeas,12.02,29.75,5.17,Harvest,408,Flood,Sandy,2.45,09-03-2025,18-03-2025,Punjab
1,76,19,24.18553163,46.68746847,6.669529416,177.3377996,pigeonpeas,7.34,25.51,6.52,Vegetative,151,Sprinkler,Clay,3.17,04-04-2025,17-02-2025,Punjab
6,69,19,26.88630675,41.69617915,4.750929218,94.46748008,pigeonpeas,7.86,35.31,8.58,Vegetative,418,Manual,Clay,1.55,19-03-2025,14-03-2025,Tamil Nadu
26,73,21,31.33170829,57.97429171,4.946263888,161.7820226,pigeonpeas,20.23,38.15,8.18,Harvest,280,Sprinkler,Sandy,4.74,16-03-2025,16-02-2025,Maharashtra
27,61,18,33.30711818,67.07780816,5.266227032,108.5090168,pigeonpeas,17.36,10.17,7.52,Fruiting,668,Flood,Silty,3.15,03-04-2025,22-02-2025,Maharashtra
27,71,23,23.45379018,46.48714759,7.10959773,150.8712202,pigeonpeas,7.02,16.68,4.09,Vegetative,219,Manual,Clay,1.9,24-03-2025,12-03-2025,Assam
36,61,21,34.53823889,39.04468913,5.617008201,168.5948318,pigeonpeas,6.68,38.52,6.83,Flowering,919,Drip,Loamy,2.52,11-03-2025,18-03-2025,Assam
17,73,18,19.50112224,34.51086611,5.632353113,197.3752649,pigeonpeas,19.02,36.66,3.61,Flowering,974,Manual,Loamy,4.13,14-03-2025,14-02-2025,Punjab
26,72,22,28.76794904,37.57792132,4.674941549,91.72084869,pigeonpeas,6.46,48.64,5.64,Seedling,142,Flood,Silty,1.23,14-03-2025,11-02-2025,Maharashtra
17,64,16,30.97758716,32.24914235,7.161797643,180.716828,pigeonpeas,21.44,40.44,5.89,Harvest,746,Manual,Sandy,1.82,07-03-2025,27-02-2025,Tamil Nadu
14,74,19,18.39759147,36.82639309,6.624966131,93.12330644,pigeonpeas,19.12,48.03,3.28,Harvest,984,Drip,Clay,3.56,21-03-2025,12-03-2025,Karnataka
39,60,15,35.09357419,30.98685456,5.004074624,116.9106908,pigeonpeas,6.63,38.1,4.92,Vegetative,359,Drip,Loamy,1.92,02-04-2025,05-03-2025,Tamil Nadu
6,66,15,34.93174223,30.40046769,6.345806011,159.2649827,pigeonpeas,6.7,21.92,9.69,Fruiting,296,Manual,Sandy,4.07,02-04-2025,28-03-2025,Assam
8,59,18,29.50523036,35.72032498,6.216814453,187.8961851,pigeonpeas,24.73,14.21,9.68,Harvest,744,Drip,Clay,1.09,30-03-2025,15-03-2025,Tamil Nadu
2,67,18,34.51934775,47.52980027,5.921666758,129.0064612,pigeonpeas,12.49,41.27,5.47,Vegetative,354,Sprinkler,Silty,3.93,28-03-2025,17-03-2025,Maharashtra
1,76,17,28.43430726,52.10010827,6.012719118,147.0414824,pigeonpeas,12.41,35.77,3.3,Vegetative,831,Manual,Loamy,0.81,20-03-2025,22-03-2025,Punjab
16,73,19,18.41645629,34.80541039,4.684079249,163.2747473,pigeonpeas,21.26,11.93,4.25,Harvest,435,Drip,Silty,0.56,02-04-2025,18-03-2025,Karnataka
23,75,25,31.07508973,47.19847683,7.077170002,91.31256412,pigeonpeas,23.94,24.4,5.75,Vegetative,652,Drip,Silty,4.54,10-03-2025,04-02-2025,Punjab
32,70,20,20.89342749,46.24856523,6.208843215,195.5697875,pigeonpeas,24.72,48.27,9.63,Seedling,601,Manual,Silty,3.12,08-03-2025,17-02-2025,Karnataka
28,59,22,30.90607799,52.79913039,7.05181629,170.9919828,pigeonpeas,20.07,30.02,3.99,Seedling,999,Sprinkler,Clay,2.08,07-03-2025,26-02-2025,Karnataka
5,62,23,27.9348279,66.45457122,4.722222454,145.3728801,pigeonpeas,12.53,27.31,8.34,Harvest,354,Manual,Silty,1.55,29-03-2025,06-02-2025,Maharashtra
36,67,25,35.95176642,36.52780776,6.418062652,136.0456753,pigeonpeas,6.67,28.31,3.76,Fruiting,613,Drip,Clay,3.28,12-03-2025,25-03-2025,Maharashtra
1,66,23,19.54317155,56.92831399,4.803564468,173.1686574,pigeonpeas,20.54,18.36,9.87,Seedling,806,Manual,Clay,2.79,16-03-2025,10-03-2025,Assam
24,73,20,19.63736208,32.31528909,4.608695247,176.4134092,pigeonpeas,16.17,24.75,5.67,Seedling,341,Drip,Silty,4.96,26-03-2025,21-03-2025,Assam
17,67,18,31.2192752,56.46868874,5.611510977,129.2028653,pigeonpeas,13.48,24.79,8.43,Harvest,248,Flood,Silty,4.92,08-03-2025,22-03-2025,Karnataka
5,55,18,33.50876355,45.70976142,7.322097972,126.6738117,pigeonpeas,23.13,12.09,5.4,Flowering,809,Manual,Sandy,3.36,07-03-2025,08-03-2025,Assam
5,56,24,24.80710166,45.01110015,5.023115055,188.4928637,pigeonpeas,7.22,40.7,7.39,Vegetative,398,Manual,Loamy,2.49,22-03-2025,17-02-2025,Maharashtra
37,77,17,36.20970524,31.94550613,5.617122801,191.0658531,pigeonpeas,14.85,26.66,4.34,Seedling,856,Drip,Sandy,2.71,15-03-2025,26-03-2025,Assam
13,73,20,30.50420876,35.48885969,5.391560418,162.5927723,pigeonpeas,5.23,42.89,4.02,Flowering,949,Drip,Loamy,3.57,01-04-2025,24-03-2025,Karnataka
6,63,23,26.01630259,49.94704718,5.906596905,160.3337447,pigeonpeas,14.37,44.01,9.57,Fruiting,719,Drip,Loamy,0.96,24-03-2025,04-03-2025,Punjab
16,77,22,31.48469278,35.6395615,6.574209678,100.546816,pigeonpeas,6.13,18.48,9.42,Flowering,552,Drip,Sandy,1.98,23-03-2025,17-03-2025,Tamil Nadu
25,64,20,33.15122581,32.45974539,4.807776749,105.0380275,pigeonpeas,7.38,36.29,9.21,Harvest,492,Manual,Sandy,0.84,23-03-2025,25-03-2025,Assam
34,75,24,23.50222822,51.29019509,4.760038039,192.3023991,pigeonpeas,7.35,28.89,7.38,Fruiting,311,Drip,Loamy,0.83,11-03-2025,27-02-2025,Maharashtra
20,77,23,34.87248659,38.83786012,5.180271502,148.2502786,pigeonpeas,17.98,45.21,8.66,Fruiting,767,Manual,Loamy,1.38,16-03-2025,16-03-2025,Punjab
35,80,25,28.09269012,44.93322042,4.895927306,197.1144011,pigeonpeas,19.92,18.63,3.48,Flowering,637,Sprinkler,Loamy,2.68,09-03-2025,03-03-2025,Maharashtra
14,75,24,24.54757829,57.3414485,6.436160044,118.3606557,pigeonpeas,16.67,37.11,5.34,Harvest,693,Manual,Clay,4.03,25-03-2025,14-03-2025,Assam
36,80,21,33.64769646,48.41490082,7.066087261,100.4673278,pigeonpeas,24.24,34.31,5.2,Seedling,694,Drip,Loamy,2.68,07-03-2025,03-03-2025,Karnataka
7,77,18,20.5591255,60.54880693,6.655918078,191.0895109,pigeonpeas,12.5,21.81,7.45,Flowering,230,Drip,Silty,2.01,27-03-2025,04-02-2025,Tamil Nadu
29,78,25,19.95991719,59.33157782,5.982854523,195.787103,pigeonpeas,10.71,15.46,5.49,Seedling,428,Sprinkler,Silty,0.87,26-03-2025,27-02-2025,Tamil Nadu
30,60,21,28.87667593,62.4901206,5.457871273,182.2688175,pigeonpeas,22.37,36.07,4.04,Flowering,711,Manual,Silty,2.98,28-03-2025,21-02-2025,Punjab
20,74,16,36.04353699,43.61444121,4.759490199,159.8938645,pigeonpeas,9.47,39.54,7.18,Seedling,355,Sprinkler,Sandy,1.72,08-03-2025,14-02-2025,Tamil Nadu
19,57,23,23.6734328,47.2879691,7.342409555,141.1250722,pigeonpeas,24.26,22.63,8.7,Flowering,578,Manual,Sandy,3.27,25-03-2025,11-03-2025,Karnataka
3,60,19,25.74679443,40.7192594,4.820788186,100.7791633,pigeonpeas,5.24,35.79,5.67,Fruiting,660,Drip,Sandy,4.9,16-03-2025,12-03-2025,Maharashtra
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,pigeonpeas,24.4,25.81,3.93,Vegetative,162,Manual,Loamy,1,28-03-2025,18-02-2025,Karnataka
5,68,20,18.72987676,61.33186249,5.001038726,139.8710041,pigeonpeas,5.86,38.53,4.38,Fruiting,410,Drip,Silty,1.45,15-03-2025,25-02-2025,Punjab
37,73,21,29.50304807,63.46513414,5.560224583,189.5208915,pigeonpeas,22.82,17.97,4.66,Seedling,506,Drip,Loamy,2.63,02-04-2025,05-02-2025,Punjab
9,59,24,20.43517772,39.37252634,4.747352458,137.2279662,pigeonpeas,15.55,45.61,5.1,Harvest,901,Flood,Clay,4.86,20-03-2025,05-02-2025,Tamil Nadu
20,72,15,36.00415838,56.01334416,7.313517308,134.8596466,pigeonpeas,24.86,21.5,7.5,Fruiting,204,Flood,Clay,3.97,10-03-2025,30-03-2025,Karnataka
31,56,23,31.46846241,35.39454002,5.661826398,174.5723999,pigeonpeas,6.48,24.71,7.21,Vegetative,716,Manual,Sandy,4.54,31-03-2025,25-02-2025,Maharashtra
0,70,21,36.30049702,56.03021253,4.672437054,101.6073988,pigeonpeas,16.08,12.32,7.87,Seedling,936,Drip,Clay,2,20-03-2025,15-03-2025,Karnataka
21,74,15,29.49096726,67.10604388,6.471862118,153.2504506,pigeonpeas,24.39,14.46,5.54,Fruiting,114,Sprinkler,Silty,4.96,15-03-2025,14-03-2025,Maharashtra
13,67,18,30.5753044,34.75591197,5.384762927,177.5764304,pigeonpeas,15.46,30.63,8.77,Flowering,786,Drip,Clay,0.96,20-03-2025,19-03-2025,Maharashtra
27,74,20,24.69487673,59.96669215,5.859813416,91.95792434,pigeonpeas,17.59,20.7,4.43,Harvest,358,Sprinkler,Sandy,0.74,08-03-2025,21-03-2025,Karnataka
29,72,24,23.17409556,36.67847052,6.962386495,162.5931264,pigeonpeas,18.91,43.42,6.28,Seedling,822,Manual,Loamy,4.35,10-03-2025,09-02-2025,Assam
5,68,20,19.04380471,33.10695144,6.12166671,155.3705624,pigeonpeas,14.09,10.59,8.61,Fruiting,511,Manual,Clay,4.67,08-03-2025,23-03-2025,Karnataka
39,57,19,29.32379604,45.93248374,6.421748487,165.4113371,pigeonpeas,17.55,25.16,4.26,Seedling,358,Sprinkler,Silty,0.91,01-04-2025,21-03-2025,Maharashtra
22,62,16,34.6455408,54.32342534,4.828936119,180.9009998,pigeonpeas,16.69,23.49,3.77,Flowering,713,Sprinkler,Silty,1.01,03-04-2025,27-02-2025,Punjab
18,55,23,21.9989826,56.31006755,6.98571967,136.8274312,pigeonpeas,23.02,10.77,9.19,Vegetative,359,Drip,Silty,0.65,16-03-2025,21-03-2025,Punjab
39,77,21,22.99774444,60.24218572,4.603563116,159.689339,pigeonpeas,5.91,14.97,5.4,Fruiting,955,Manual,Loamy,0.97,16-03-2025,19-03-2025,Tamil Nadu
